Ranking,fabricante,Procesador,Cache,Frecuencia,Zócalo,Nucleos,Hilos,Lanzamiento
1,AMD,Ryzen Threadripper PRO 5995WX,256,4.5,sWRX8,64,128,2022
2,AMD,EPYC 7H12,257,3.3,SP3,64,128,2019
3,Intel,Xeon Platinum 8368,57,3.4,LGA4189,38,76,2021
4,AMD,EPYC 7552,192,3.3,SP3,48,96,2019
5,AMD,EPYC 7763,256,3.5,SP3,64,128,2021
6,AMD,EPYC 7443,128,4,SP3,24,48,2021
7,AMD,EPYC 7713,256,3.67,SP3,64,128,2021
8,AMD,Ryzen Threadripper PRO 3995WX,256,4.3,sWRX8,64,128,2020
9,AMD,Ryzen Threadripper PRO 5975WX,128,4.5,sWRX8,32,64,2022
10,AMD,Ryzen Threadripper 3990X,256,4.3,sTRX4,64,128,2020
11,AMD,EPYC 7643,256,3.6,SP3,48,96,2021
12,Intel,Xeon Gold 6338,48,3.2,LGA4189,32,64,2021
13,AMD,EPYC 7662,256,3.3,SP3,64,128,2020
14,AMD,EPYC 7702,256,3.35,SP3,64,128,2019
15,AMD,EPYC 7742,256,3.4,SP3,64,128,2019
16,Intel,Xeon Platinum 8352Y,48,3.4,LGA4189,32,64,2021
17,AMD,EPYC 75F3,256,4,SP3,32,64,2021
18,AMD,Ryzen Threadripper PRO 5965WX,128,4.5,sWRX8,24,48,2022
19,AMD,EPYC 7543P,256,3.7,SP3,32,64,2021
20,Intel,Xeon Gold 5320,39,3.4,LGA4189,26,52,2021
21,Intel,Xeon Gold 6258R,39,4,LGA3647,28,56,2020
22,AMD,Ryzen Threadripper 3970X,128,4.5,sTRX4,32,64,2019
23,AMD,Ryzen Threadripper PRO 3975WX,128,4.35,sWRX8,32,64,2020
24,Intel,Xeon Platinum 8380,60,3.4,LGA4189,40,80,2021
25,AMD,EPYC 7702P,256,3.35,SP3,64,128,2019
26,AMD,EPYC 74F3,256,4,SP3,24,48,2021
27,AMD,EPYC 7513,128,3.65,SP3,32,64,2021
28,AMD,EPYC 7642,256,3.3,SP3,48,96,2019
29,AMD,EPYC 7443P,128,4,SP3,24,48,2021
30,Intel,Xeon E7-8895 v2,38,3.6,LGA2011,15,30,2014
31,AMD,EPYC 7542,128,3.4,SP3,32,64,2019
32,AMD,EPYC 7543,256,3.7,SP3,32,64,2021
33,Intel,Xeon Gold 6240R,36,4,LGA3647,24,48,2020
34,AMD,EPYC 7532,256,3.3,SP3,32,64,2020
35,AMD,EPYC 7401,64,3,SP3,24,48,2017
36,AMD,Ryzen Threadripper 3960X,128,4.5,sTRX4,24,48,2019
37,Intel,Xeon Platinum 8358,48,3.4,LGA4189,32,64,2021
38,AMD,EPYC 7453,54,3.45,SP3,28,56,2021
39,Intel,Xeon E5-4667 v4,45,3,LGA2011,18,36,2016
40,Intel,Xeon Platinum 8160M,33,3.7,LGA3647,24,48,2017
41,Intel,Xeon Gold 6348,42,3.5,LGA4189,28,56,2021
42,Intel,Xeon Platinum 8260,36,3.9,LGA3647,24,48,2018
43,Intel,Xeon Platinum 8180M,39,3.8,LGA3647,28,56,2017
44,AMD,EPYC 7402,128,3.35,SP3,24,48,2019
45,Intel,Xeon Gold 6240,25,3.9,LGA3647,18,36,2019
46,AMD,EPYC 7502,128,3.35,SP3,32,64,2019
47,AMD,EPYC 7502P,128,3.35,SP3,32,64,2019
48,AMD,EPYC 7413,128,3.6,SP3,24,48,2021
49,Intel,Xeon E7-4880 v2,38,3.1,LGA2011,15,30,2014
50,Intel,Xeon Gold 6342,36,3.5,LGA4189,24,48,2021
